username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Dr. Smith,1132487625313357824,"San Francisco, CA",2019-05-26 03:24:25,"@Jim_Jordan I remember massive unemployment that rivaled Herbert Hoover in the 1930’s 500,000 dead, riots, bankrupt… https://t.co/kUftY367pm",0,Twitter for iPad,
Str8Shooter123,736048243,"San Francisco, CA",2012-08-04 04:02:29,@POTUS Let’s take a look at unemployment from 2019 vs now instead. Do you have those numbers? The rest is hogwash.,0,Twitter for iPhone,
Art Vandelay,163036361,San Francisco,2010-07-05 11:12:38,@Jim_Jordan Unemployment is historically low. Is that also Biden’s America?,0,Twitter for iPhone,
"Hi, I’m betito 💫",34778757,"San Francisco, CA",2009-04-24 00:03:04,My unemployment era has come to end 🥳 https://t.co/zRZanuJz5l,0,Twitter Web App,
Instawork,3118475414,"San Francisco, CA",2015-03-30 19:13:57,"As recession talk continues, @Instawork's @AltmanEcon is looking at whether some sectors experienced a mini-recessi… https://t.co/pi1egmOLyh",1,Twitter Web App,
Crime data analytics,1585322917893525506,"San Francisco, CA",2022-10-26 17:31:21,@mattyglesias borjas says mass unskilled immigration lowers wages.  so ending the flood over the southern border do… https://t.co/O0qBk6I2Kp,0,Twitter for iPad,
"Lisa-Anice Sutphen, CID-UNESCO",255082318,San Francisco ,2011-02-20 16:52:49,@Giveumhell @ericareport Major reforms reducing taxes on the rich lead to higher income inequality but do not have… https://t.co/SXMXXqqWC1,0,Twitter for Android,
Babak Ghoreyshi,520566305,"San Francisco, CA",2012-03-10 17:11:49,"2/ This decrease in demand can then lead to a decrease in production and further job losses. In addition, layoffs c… https://t.co/tV8pEPlCcU",0,Twitter for Android,
🙏🏼🕊#NoWAR🌻🇵🇸❤🇸🇾💚🇾🇪❤,74284365,San Francisco,2009-09-14 22:27:08,"@JoeBiden Gig economy jobs, with no benefits, no insurance, no pension should not count as ""jobs"" for unemployment… https://t.co/EwyPlSvwR5",0,Twitter for Android,
Stand up for whats right,1319049182598983680,"San Francisco, CA",2020-10-21 22:54:00,@amusic5150 @LibbyCat13 @LittleMamaKin @WalshFreedom A 4th grader understands that life was much better under Trump… https://t.co/n0qXN10h9t,0,Twitter for Android,
A Reader,170165713,San Francisco,2010-07-24 02:58:49,"“Buhari has been so ruinous that the population is more galvanised,” said Ayisha Osori, a director at the… https://t.co/6IaoTjqsBd",0,Twitter for iPad,
walkerwocka.eth,190310726,"San Francisco, CA",2010-09-13 16:43:29,What's in store for Q1. Money on the sidelines. Rates still low. Unemployment still tracking normal. Are we going t… https://t.co/JNkhaeQld4,0,Twitter for Android,
Dr. Smith,1132487625313357824,"San Francisco, CA",2019-05-26 03:24:25,"@GOP #GOPDeathCult has done nothing to alleviate the issues other than complain. Still not as bad as 500,000 dead,… https://t.co/xLiZf2f94e",0,Twitter for iPad,
Never Forget July 6th,1259786746205634560,"San Francisco, CA",2020-05-11 10:05:54,@POTUS Holy crap! 18 million were out of work? The only thing I could imagine that might cause unemployment to skyr… https://t.co/4STlNgNqR0,0,Twitter for iPhone,
Max Dubler 🏳️‍🌈,950101243,"San Francisco, CA",2012-11-15 16:59:07,@ryanlcooper @opinonhaver I lost my shitty 1099 gig job and doubled my income by going on unemployment it fucking ruled.,0,Twitter for iPhone,
CHLOE,2238333804,"San Francisco, CA",2013-12-10 00:15:44,$SPY $DJIA $IWM $QQQ $SQQQ Tomorrow at 8:30 AM ET Unemployment number &amp; GDP,0,Twitter Web App,
Amanda Askell,756181721997987848,"San Francisco, CA",2016-07-21 17:39:06,@StefanFSchubert I think how wrong it is for either depends mostly on what they would do if working. But salient di… https://t.co/ykEFZSY9Ao,0,Twitter Web App,
Z ☭ The west is unhinged 🌱🐿,1337311367490019329,San Francisco,2020-12-11 08:21:07,@POTUS Didn't you end unemployment? Now you're bragging about it?,0,Twitter Web App,
Stanley Morrical ,1618600166,"San Francisco, CA",2013-07-24 20:49:22,"Eh oh…

Unemployment Among Talking Candies Hits Record High Under Biden Administration | Babylon Bee https://t.co/p76xakjbyP",0,Twitter for iPhone,
MegaTron,1588141422817021955,Merica,2022-11-03 12:10:09,"@SteveMiran I was wondering what the next gloom narrative would be.   Yesterday it was the Foreclosure Wave, mass u… https://t.co/W2WLvXjumo",0,Twitter for Android,
MegaTron,1588141422817021955,Merica,2022-11-03 12:10:09,"@windgineering @NikhaarShah Why compare 2006?  Nearly every economic indicator is different.  Unemployment, foreclo… https://t.co/tpdkk3gH1I",0,Twitter for Android,
Dina Srinivasan,512407647,"San Francisco, CA",2012-03-02 20:15:55,A public policy restricting media from covering (or Twitter from amplifying :) mass layoffs might result in less la… https://t.co/ByFYZ99JLF,3,Twitter for iPhone,
Michael Kwun,40907285,San Francisco,2009-05-18 16:28:47,"@chd best I can do: ""It was late in the day and hot, and after a long march and an afternoon of speeches about fede… https://t.co/XuSsQptYrf",0,Twitter for Android,
Gaira,1312114402792034306,san francisco,2020-10-02 19:37:15,@MomAngtrades @unusual_whales Except unemployment is at a 50 year low.,0,Twitter for iPhone,
Michael Green,995543502,San Francisco,2012-12-07 17:56:12,@DeanBaker13 @besttrousers Except new entrants slowed faster. That's a big part of the low unemployment story overa… https://t.co/H797ArIilQ,0,TweetDeck,
justin vachon 🫠,220712115,"San Francisco, CA",2010-11-28 16:31:13,@ImMatElfring @stueyreviewy @danauer doing pretty shit still but trying to keep my head up when i can. my unemploym… https://t.co/rpNkaHInid,0,Twitter for iPhone,
Alex is over at Mastodon,1455220383448113152,San Francisco,2021-11-01 17:09:46,"@kevinmsabo to the extent that the major causes of homelessnessare: lack of affordable housing, unemployment, pover… https://t.co/wEtC2ypFDq",0,Twitter Web App,
Ash Rust | Idea Stage Investing,916481,San Francisco ,2007-03-11 10:38:30,I imagine the Fed will continue raising rates until inflation is well under 5% while low unemployment will push in… https://t.co/j5AUNzEXLS,0,Twitter Web App,
Ash Rust | Idea Stage Investing,916481,San Francisco ,2007-03-11 10:38:30,"Macro Notes
The US economy appears to be turning a positive corner in early 2023, the S&amp;P 500 is roughly flat over… https://t.co/zo2EaFaN8o",0,Twitter Web App,
Shashank Ashtikar,151617097,"San Francisco, CA",2010-06-03 20:59:13,"@AudaciousQuest_ Want to clear up a few things. Yes there have been massive layoffs in big tech, but the unemployme… https://t.co/HQ3XD0fyK0",0,Twitter for iPhone,
NYTimes Tech,14434070,"San Francisco, CA",2008-04-18 15:19:26,Tech companies are shedding employees and cutting back even as the larger U.S. economy chugs along with a low unemp… https://t.co/Jg7ua0skuS,0,SocialFlow,
Naval,985912804564783106,"San Francisco, CA",2018-04-16 16:08:24,Put politicians and journalists on unemployment and the individual is as old as gold.,0,naval_ebooks,
Reaction Compilation Allstars,1437107994299277313,San Francisco,2021-09-12 17:37:13,"What an ass backwards system we gave were the best solution to decrease inflation is to increase unemployment, rais… https://t.co/kFs6ZUQwCh",0,Twitter Web App,
Savvy Symbiont,35110002,"San Francisco, CA",2009-04-25 01:53:20,@pmddomingos @ZacksJerryRig @tim_cook What about the $3+ billion buried in the omnibus spending bill for states unemployment?,0,Twitter Web App,
Audio London,3952244537,"San Francisco, CA",2015-10-14 03:22:47,"@elonmusk @slashdot Really?
People can't find a home to live in.
The freeway's are crowded.
The streets are full wi… https://t.co/rco5ZdPjNn",0,Twitter Web App,
Dennis Belogorsky,407241169,"San Francisco, CA",2011-11-07 20:42:53,@bfry1981 @JuliaDavisNews Hard to say when most of the dead are from downtrodden regions that have been collapsing… https://t.co/II3M9dKSTp,0,Twitter for iPhone,
808s,844444246761525248,"San Francisco, CA",2017-03-22 07:02:52,"@BleacherReport This man collecting unemployment check atp, fat ass unemployment checks too",0,Twitter for iPhone,
Savvy Symbiont,35110002,"San Francisco, CA",2009-04-25 01:53:20,@ConceptualJames My understanding of PPP is the $3+ billion for unemployment to the states that is buried in the om… https://t.co/KQXYjvlI8O,0,Twitter Web App,
Marilyn Kennick,574726348,"San Francisco, CA",2012-05-08 19:20:00,Check out this article: https://t.co/8wj1jwP715,0,Twitter Web App,
Ethnic Media Services,15911597,San Francisco,2008-08-20 00:21:47,"""A softening of the economy is going to hit marginalized people hardest and fastest,"" says @WendyEdelberg. Reinstat… https://t.co/yWPUZuKPi2",1,Twitter Web App,
Wolf Richter,346072615,San Francisco,2011-07-31 17:40:40,"Subprime Auto-Loan Delinquencies Rise to 2019 Levels: a Dive into Subprime Lending and Securitizations.
Surge of de… https://t.co/NVAzXgQcya",8,Twitter Web App,
Queef Latifah,34489609,"Downtown, San Francisco",2009-04-23 01:59:04,So much for the unemployment rate.  What do you have to say for yourself @POTUS ? https://t.co/wYNBOM67PI,0,Twitter for iPhone,
NYTimes Tech,14434070,"San Francisco, CA",2008-04-18 15:19:26,Tech companies are shedding employees and cutting back even as the larger U.S. economy chugs along with a low unemp… https://t.co/iZzLSkKhCB,0,SocialFlow,
Frank da Tank,15487417,San Francisco,2008-07-18 22:44:27,"@GOP What are you using to measure this?  Deaths from COVID, unemployment, please explain?",0,Twitter for Android,
Sugnesh Patel,928176123371954176,"San Francisco, CA",2017-11-08 08:23:27,"@kamaalrkhan It’s because of these debates only that now Abrahamics in India have started ranting Secularism, unemp… https://t.co/OjbTEzqOCE",0,Twitter for iPhone,
David Canepa,813998038314164228,"Daly City, CA",2016-12-28 06:40:30,The unemployment rate in San Mateo County was 1.9%  in December which is the lowest unemployment rate in California… https://t.co/deSMOMWngL,3,Twitter for iPhone,
Marcelo Tournier MD MPH 🔬👨‍💻🤖🏥🇧🇷,20409846,"San Francisco, CA",2009-02-09 02:30:22,"""Keep the GPU(s) warmed"" is the shortest path to unemployment in #DataScience 💸💸💸 https://t.co/UIU5yehNx9",0,Twitter Web App,
Ethan Ferdosi,214311328,"San Francisco, CA",2010-11-11 02:50:19,"51000 laid off by big tech firms over the course of the last few months, and yet the unemployment rate has edged do… https://t.co/0IyKToeNI6",0,Twitter for Android,
Utamu,28461823,San Francisco,2009-04-03 00:44:11,@owenslindsay1: All debt isn't “created equal. When we’re making critical investments &amp; stimulus coming out of a re… https://t.co/LMew8EDZv9,0,Twitter Web App,
Tiniesha Brown,1347339188786634753,"San Francisco, CA",2021-01-08 00:28:00,@POTUS Even the disabled have had to get jobs with this inflation LMAO no SHIT unemployment's low bc if it weren't… https://t.co/5ZAQL5sKFn,0,Twitter for iPhone,
Robin Carr ♌️,15347405,"San Francisco, CA",2008-07-07 22:45:36,@annkillion Or unemployment,0,Twitter for Android,
